,A,B,CCR_MOS,no_answers,answers
1,/home/jtorres/noisy_enhanced/noisy_speech/female_american_1_door_audio_5_snr_-5_rms_-32_r_meeting.wav ,/home/jtorres/noisy_enhanced/enhanced_speech/female_american_1_door_audio_5_snr_-5_rms_-32_r_meeting.wav ,0.38461538461538464,13,"[1, 1, 2, 0, 0, 1, 1, -1, 0, 0, -1, 0, 1]"
2,/home/jtorres/noisy_enhanced/noisy_speech/female_american_2_people_snoring_4_snr_25_rms_-31_r_meeting.wav ,/home/jtorres/noisy_enhanced/enhanced_speech/female_american_2_people_snoring_4_snr_25_rms_-31_r_meeting.wav ,1.0,14,"[1, 1, 1, -1, 2, 1, 0, 1, 1, 1, 2, 1, 2, 1]"
3,/home/jtorres/noisy_enhanced/noisy_speech/female_american_3_fork_and_plate_5_snr_25_rms_-31_r_meeting.wav ,/home/jtorres/noisy_enhanced/enhanced_speech/female_american_3_fork_and_plate_5_snr_25_rms_-31_r_meeting.wav ,0.8125,16,"[0, 1, -1, 0, 0, 1, 1, 2, 2, 1, 1, 2, 1, 1, 2, -1]"
4,/home/jtorres/noisy_enhanced/noisy_speech/female_american_4_water_raining_2_snr_25_rms_-29_r_meeting.wav ,/home/jtorres/noisy_enhanced/enhanced_speech/female_american_4_water_raining_2_snr_25_rms_-29_r_meeting.wav ,0.5833333333333334,12,"[1, 1, 0, 1, 2, -1, 1, 1, 1, -2, 2, 0]"
5,/home/jtorres/noisy_enhanced/noisy_speech/female_american_5_people_drinking_1_snr_-5_rms_-24_r_office.wav ,/home/jtorres/noisy_enhanced/enhanced_speech/female_american_5_people_drinking_1_snr_-5_rms_-24_r_office.wav ,0.3076923076923077,13,"[1, 1, 1, -1, 1, 1, -1, 1, 0, 1, -1, 1, -1]"
6,/home/jtorres/noisy_enhanced/noisy_speech/female_american_6_people_drinking_2_snr_5_rms_-26_r_office.wav ,/home/jtorres/noisy_enhanced/enhanced_speech/female_american_6_people_drinking_2_snr_5_rms_-26_r_office.wav ,1.4285714285714286,14,"[1, 1, 2, 2, 1, 2, 1, 2, 2, 2, 1, 2, 1, 0]"
7,/home/jtorres/noisy_enhanced/noisy_speech/female_american_7_water_running_2_snr_15_rms_-34_r_office.wav ,/home/jtorres/noisy_enhanced/enhanced_speech/female_american_7_water_running_2_snr_15_rms_-34_r_office.wav ,-0.25,12,"[-1, 1, -1, 1, -1, -1, 1, 0, -1, 1, -1, -1]"
8,/home/jtorres/noisy_enhanced/noisy_speech/female_american_8_people_snoring_4_snr_15_rms_-24_r_lecture.wav ,/home/jtorres/noisy_enhanced/enhanced_speech/female_american_8_people_snoring_4_snr_15_rms_-24_r_lecture.wav ,0.8333333333333334,12,"[0, 2, -1, -1, 1, 1, 1, 1, 2, 1, 1, 2]"
9,/home/jtorres/noisy_enhanced/noisy_speech/female_american_9_can_opening_5_snr_5_rms_-27_r_lecture.wav ,/home/jtorres/noisy_enhanced/enhanced_speech/female_american_9_can_opening_5_snr_5_rms_-27_r_lecture.wav ,0.5714285714285714,14,"[1, 0, 1, 1, 1, 1, 1, 2, 2, 1, -1, 0, -2, 0]"
10,/home/jtorres/noisy_enhanced/noisy_speech/female_american_10_car_horns_5_snr_0_rms_-22_r_lecture.wav ,/home/jtorres/noisy_enhanced/enhanced_speech/female_american_10_car_horns_5_snr_0_rms_-22_r_lecture.wav ,-0.5555555555555556,9,"[0, -1, -1, 1, -1, -2, 0, 0, -1]"
11,/home/jtorres/noisy_enhanced/noisy_speech/female_american_11_baby_crying_4_snr_-5_rms_-22.wav ,/home/jtorres/noisy_enhanced/enhanced_speech/female_american_11_baby_crying_4_snr_-5_rms_-22.wav ,0.23076923076923078,13,"[-1, 0, 1, 2, 0, 0, 1, 1, 1, -2, -1, 0, 1]"
12,/home/jtorres/noisy_enhanced/noisy_speech/female_american_12_can_opening_2_snr_25_rms_-34.wav ,/home/jtorres/noisy_enhanced/enhanced_speech/female_american_12_can_opening_2_snr_25_rms_-34.wav ,1.3076923076923077,13,"[1, 0, 2, 1, 2, 2, 1, 1, 1, 1, 2, 2, 1]"
